Symbol,Open,High,Low,Close,Volume,Market_Cap,Time
BTC,30394.1879043593,30411.0537908765,28669.8982681516,28822.6804729009,24571565420.76,557748035703.28,2023-04-19T23:59:59.999Z
BTC,28823.6828624372,29076.4010485199,28037.2572572235,28245.9873104934,21340360359.79,546611911812.66,2023-04-20T23:59:59.999Z
BTC,28249.2312707237,28349.9678577085,27177.3652995742,27276.9096875756,20759504329.87,527883377617.69,2023-04-21T23:59:59.999Z
BTC,27265.8950162583,27872.1431679039,27169.5711204099,27817.5009174373,13125734602.38,538371205878.3,2023-04-22T23:59:59.999Z
BTC,27816.1447925761,27820.2444909276,27400.3137358677,27591.3846319068,12785446832.04,534020212996.71,2023-04-23T23:59:59.999Z
BTC,27591.7295218905,27979.9819006629,27070.8494995525,27525.3394995911,17703288330.24,532766516006.96,2023-04-24T23:59:59.999Z
BTC,27514.8723912188,28371.0776961978,27207.9325567409,28307.5980906654,17733373139.17,547928945542.45,2023-04-25T23:59:59.999Z
BTC,28300.0592743853,29995.8384911174,27324.5490065239,28422.7008784923,31854242019.49,550180352607.55,2023-04-26T23:59:59.999Z
BTC,28428.4642786789,29871.5463516429,28402.8873866517,29473.7861836728,27153445027.31,570550222405.71,2023-04-27T23:59:59.999Z
BTC,29481.0135350274,29572.7916927929,28929.6085418823,29340.262498158,17544464887.25,567993007155.91,2023-04-28T23:59:59.999Z
BTC,29336.5670352512,29452.4552449019,29088.0423364895,29248.4883729176,10662634332.91,566240497928.76,2023-04-29T23:59:59.999Z
BTC,29245.5155124623,29952.0285526597,29114.0212362778,29268.8070431626,14652199272.27,566661285145.37,2023-04-30T23:59:59.999Z
BTC,29227.1039819099,29329.9362211056,27680.7926396911,28091.5688038924,18655599976.36,543900696259.74,2023-05-01T23:59:59.999Z
BTC,28087.174969792,28881.2983804636,27924.1236749807,28680.5369679129,16432924526.63,555325979264.04,2023-05-02T23:59:59.999Z
BTC,28680.494409625,29259.5332879995,28178.3892452007,29006.3076709086,19122972518.31,561661086030.57,2023-05-03T23:59:59.999Z
BTC,29031.3044477545,29353.1846595615,28694.0390246895,28847.7115906552,15548678513.55,558617183940.51,2023-05-04T23:59:59.999Z
